Best trial value: 0.06676275380849879
Best hyperparameters: {'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00017489205183753874, 'num_neurons': 87, 'num_hidden_layers': 2, 'l1_reg': 0.00040322538610911165, 'l2_reg': 2.899284099154708e-05}

All trial results:
Trial 23: Value=0.18627871853842573, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.005366522012087335, 'num_neurons': 15, 'num_hidden_layers': 18, 'l1_reg': 5.147366364755921e-06, 'l2_reg': 4.4946782674569675e-07}
Trial 24: Value=0.11247888178282338, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.006519135343297983, 'num_neurons': 27, 'num_hidden_layers': 15, 'l1_reg': 9.610796421627666e-08, 'l2_reg': 1.1545056207264171e-07}
Trial 25: Value=0.13527855392308563, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.006323990475213603, 'num_neurons': 20, 'num_hidden_layers': 16, 'l1_reg': 6.404592729224757e-08, 'l2_reg': 2.793851999910131e-05}
Trial 26: Value=0.166378057981363, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.005036211416883162, 'num_neurons': 11, 'num_hidden_layers': 18, 'l1_reg': 4.559592145967921e-05, 'l2_reg': 3.9045947729260335e-05}
Trial 27: Value=1.0015596303303564, Params={'optimizer': 'Lion', 'activation_function': 'relu', 'learning_rate': 0.0010113706187754325, 'num_neurons': 26, 'num_hidden_layers': 15, 'l1_reg': 1.8269297690927596e-06, 'l2_reg': 0.003528069502280055}
Trial 28: Value=0.5224322677938891, Params={'optimizer': 'Adam', 'activation_function': 'leaky_relu', 'learning_rate': 0.00955365749742547, 'num_neurons': 29, 'num_hidden_layers': 19, 'l1_reg': 7.528708987337996e-08, 'l2_reg': 5.827534953057139e-07}
Trial 29: Value=0.18669759209533646, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 0.003650138407042024, 'num_neurons': 5, 'num_hidden_layers': 14, 'l1_reg': 2.2150605599272762e-05, 'l2_reg': 1.2070927318589452e-07}
Trial 30: Value=1.000073517754237, Params={'optimizer': 'SGD', 'activation_function': 'gelu', 'learning_rate': 0.0020771303016966147, 'num_neurons': 61, 'num_hidden_layers': 17, 'l1_reg': 0.00015549881325142723, 'l2_reg': 88.83702063821806}
Trial 31: Value=0.1154170855022154, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.006412304331504291, 'num_neurons': 34, 'num_hidden_layers': 14, 'l1_reg': 2.028591965390471e-07, 'l2_reg': 8.08275127738804e-08}
Trial 32: Value=0.12637714736675615, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.006956428094227359, 'num_neurons': 21, 'num_hidden_layers': 17, 'l1_reg': 2.5964798782040476e-08, 'l2_reg': 7.724039624636778e-08}
Trial 33: Value=0.12398407607904223, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.004887491217422959, 'num_neurons': 48, 'num_hidden_layers': 14, 'l1_reg': 2.821463253470842e-07, 'l2_reg': 1.1425066472110505e-06}
Trial 34: Value=0.12021680843462511, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.003823696485194015, 'num_neurons': 32, 'num_hidden_layers': 20, 'l1_reg': 1.6641764311694418e-06, 'l2_reg': 4.4994713952037555e-08}
Trial 35: Value=0.1221581085898716, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.0020818966592041103, 'num_neurons': 69, 'num_hidden_layers': 16, 'l1_reg': 1.1067419757031803e-07, 'l2_reg': 1.0311009059331505e-05}
Trial 36: Value=0.1402749759291441, Params={'optimizer': 'Adamax', 'activation_function': 'leaky_relu', 'learning_rate': 0.0069344620511372, 'num_neurons': 49, 'num_hidden_layers': 11, 'l1_reg': 9.08759684595382e-06, 'l2_reg': 1.6023988609711327e-07}
Trial 37: Value=0.9039732087998287, Params={'optimizer': 'Adagrad', 'activation_function': 'elu', 'learning_rate': 3.668528982808128e-05, 'num_neurons': 24, 'num_hidden_layers': 14, 'l1_reg': 0.0003758305910167252, 'l2_reg': 1.0014978509265982e-08}
Trial 38: Value=1.000026629728523, Params={'optimizer': 'Adadelta', 'activation_function': 'gelu', 'learning_rate': 0.001593111720067572, 'num_neurons': 12, 'num_hidden_layers': 15, 'l1_reg': 1.3920909075769405e-06, 'l2_reg': 5.5972622566912606e-05}
Trial 39: Value=1.000759913887802, Params={'optimizer': 'Ftrl', 'activation_function': 'elu', 'learning_rate': 0.0025610480158890173, 'num_neurons': 32, 'num_hidden_layers': 18, 'l1_reg': 0.018456029214150186, 'l2_reg': 1.4419461024883747e-06}
